순번,결함유형,점검일자,광역자치단체,기초자치단체,체육시설,시설물명,주소,건물구분,위치구분,점검항목,지적사항,이미지URL,이미지파일이름,이미지확장자,가로해상도,세로해상도
69,철골재 부식,2025-09-17,충청북도,단양군,육상경기장,단양공설운동장,충청북도 단양군 단양읍 별곡6길 26,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25상-5(조치필요) 본부석 및 관람석 지붕 트러스 부식 발생 전반적,http://openapi.kspo.or.kr/web/ai/,069_2B4A803E1E1B691BD9F47721DAE62547.jpg,jpg,216,287
70,철골재 부식,2025-07-28,전북특별자치도,군산시,축구장,금강공원축구장,전북특별자치도 군산시 내흥동 894,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25하-1(조치필요) 관람석 지붕 철골 및 볼트 부식 다수,http://openapi.kspo.or.kr/web/ai/,070_64125B9E39B62F660B0CA1670AF1FAF7.jpg,jpg,211,282
71,철골재 부식,2025-07-14,경기도,하남시,수영장,하남국민체육센터수영장,경기도 하남시 아리수로 600 (망월동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25하-1(조치필요) 지상1층 50m 수영장 상부 철골 보 및 접합 볼트 부식 다수,http://openapi.kspo.or.kr/web/ai/,071_0C0235950C0BC57B54FCDC519DD38B79.jpg,jpg,225,299
72,철골재 부식,2025-07-23,경기도,남양주시,축구장,오남체육공원축구장,경기도 남양주시 오남읍 양지로 156-19,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25하-1(조치필요) 축구장 관람석 지붕 철골 부식 다수,http://openapi.kspo.or.kr/web/ai/,072_A6F23A7D73CB4CBA967DAAF5823CC3ED.jpg,jpg,224,298
73,철골재 부식,2025-07-28,충청남도,서천군,체육관,서천군민체육관 본동(1동),충청남도 서천군 장항읍 성화로 26-10,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재 부식, 도장 탈락 여부",25하-1(조치필요) 체육관 지붕 철골 및 판넬 부식 다수,http://openapi.kspo.or.kr/web/ai/,073_A33A701B5310249B33448F91071A4355.jpg,jpg,212,284
74,철골재 휨처짐,2025-05-19,전북특별자치도,임실군,체육관,임실군군민회관체육관,전라북도 임실군 임실읍 호국로 1703,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",(조치필요)지붕층 3. 상현재 휨 변형,http://openapi.kspo.or.kr/web/ai/,074_D5D137512EF774802E74FA59D03577FE.jpg,jpg,330,248
75,철골재 휨처짐,2025-06-24,충청남도,금산군,체육관,금산군 생활체육관(족구장),충청남도 금산군 금성면 진산로 47,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",25상-1(조치필요) 내부 브레이싱 변형,http://openapi.kspo.or.kr/web/ai/,075_64C85F0DC7E450099647D7712844BE43.jpg,jpg,330,248
76,철골재 휨처짐,2025-08-06,충청남도,청양군,체육관,(취약시설)(취약시설)청양군민체육관,충청남도 청양군 청양읍 충절로 1204,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",25상-1(조치필요) 전망탑 5층 하부 플레이트 변형 및 도장 오염,http://openapi.kspo.or.kr/web/ai/,076_94F3A59939060C1D32673EFB88ADD42A.jpg,jpg,330,247
77,철골재 휨처짐,2025-09-10,전북특별자치도,무주군,테니스장,반딧불체육관테니스장,전라북도 무주군 무주읍 한풍루로 326-14,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",(조치필요)지붕층 1. 철골 접합부 플레이트 변형 및 오염,http://openapi.kspo.or.kr/web/ai/,077_3B0614F42C68DADEECBDE24A8972994C.jpg,jpg,332,212
78,철골재 휨처짐,2025-07-17,경기도,구리시,체육관,구리시체육관,교문동 3-2번지 일원,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",25하-4(조치필요) 지상2층 지붕 트러스 철골 부재 변형 다수,http://openapi.kspo.or.kr/web/ai/,078_7BA0512C9F1848B930AE606ADEC4D96C.jpg,jpg,209,279
79,철골재 휨처짐,2025-06-19,충청남도,천안시,체육관,천안신방체육관,충청남도 천안시 동남구 천안천변길 195-6 (신방동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",25상-7(조치필요) 데크플레이트 슬래브 파손 다수 지상1층 게이트볼장 상부,http://openapi.kspo.or.kr/web/ai/,079_8098A1BA446AC8884C939015A6B78E91.jpg,jpg,373,280
80,철골재 휨처짐,2025-08-06,충청남도,청양군,체육관,(취약시설)(취약시설)청양군민체육관,충청남도 청양군 청양읍 충절로 1204,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",25상-1(조치필요) 전망탑 5층 하부 플레이트 변형 및 도장 오염,http://openapi.kspo.or.kr/web/ai/,080_BC79229C76B68AB0383E5B5C19B36EFB.png,png,472,278
81,철골재 휨처짐,2025-08-11,충청북도,청주시,체육관,청주체육관,충청북도 청주시 서원구 사직대로 229 (사직동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",25상-5(조치필요) 철골 트러스 브레이스 인장재 시공불량으로 인한 인장력 부족(단일부재로 시공 해야함) 지상3층 지붕 철골 다수,http://openapi.kspo.or.kr/web/ai/,081_5D1AB622F8EC0F0901EE321643774828.jpg,jpg,387,291
82,철골재 휨처짐,2025-08-11,충청북도,청주시,체육관,청주체육관,충청북도 청주시 서원구 사직대로 229 (사직동),건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",25상-6(조치필요) 철골 트러스 접합부 철판 파손 지상3층 지붕 철골,http://openapi.kspo.or.kr/web/ai/,082_E3753297E8232A59A40893796B0887BE.jpg,jpg,370,277
83,철골재 휨처짐,2025-06-24,충청남도,금산군,체육관,금산군 생활체육관(족구장),충청남도 금산군 금성면 진산로 47,건물 내외부,기둥 보 바닥 벽 계단 (주요구조부),"철골재(보,바닥 등)의 휨, 처짐, 변형 등의 손상 여부",25상-1(조치필요) 내부 브레이싱 변형,http://openapi.kspo.or.kr/web/ai/,083_3B09A4FF5CA9BF6ED8F0AED2DDF1EEB6.png,png,462,273
84,마감재파손,2025-05-19,경기도,포천시,육상경기장,포천종합운동장,경기도 포천시 군내면 호국로 1518,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25상-5(조치필요) 1층 조적벽체 균열,http://openapi.kspo.or.kr/web/ai/,084_60CC37E8F010D61318150D3CEC6969FB.jpg,jpg,332,248
85,마감재파손,2025-06-17,경상남도,남해군,야구장,남해스포츠파크인조야구장,경상남도 남해군 서면 스포츠파크길 74,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부","25상-7(조치필요)  필드 외부 판넬마감 녹오염, 부식(전반적)",http://openapi.kspo.or.kr/web/ai/,085_F3AF308CF9503EE9A3C9F19247CAF2CC.jpg,jpg,330,248
86,마감재파손,2025-06-16,충청북도,옥천군,체육관,옥천체육센터,충청북도 옥천군 옥천읍 관성로 53,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25상-2(조치필요) 2층 관람석 바닥 균열,http://openapi.kspo.or.kr/web/ai/,086_FB07874745EF7299306026BBA506BB43.jpg,jpg,330,247
87,마감재파손,2025-06-12,경기도,안산시,체육관,감골시민홀체육관,사동 1342,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25상-1(조치필요) 1층 복도 조적벽체 균열,http://openapi.kspo.or.kr/web/ai/,087_B6861987C24965705A22980B13A95D91.jpg,jpg,330,248
88,마감재파손,2025-06-09,경상남도,사천시,체육관,삼천포체육관,경상남도 사천시 주공로 32-1 (용강동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부","25상-4(조치필요) 2층 천장마감재 누수흔적, 탈락",http://openapi.kspo.or.kr/web/ai/,088_DE875A68F61AB367AAD27CD3C467BC05.jpg,jpg,330,248
89,마감재파손,2025-06-24,충청남도,금산군,체육관,금산군 생활체육관(족구장),충청남도 금산군 금성면 진산로 47,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25상-2(조치필요) 내부 이동통로 바닥마감 균열(전반적),http://openapi.kspo.or.kr/web/ai/,089_85007E667F1CFB42732E202C029CD79F.jpg,jpg,330,248
90,마감재파손,2025-05-28,울산광역시,북구,체육관,오토밸리복지센터,울산광역시 북구 산업로 1020 (연암동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25상-3(조치필요) 2층 헬스장 조깅구역 마감재 녹오염,http://openapi.kspo.or.kr/web/ai/,090_2746EC2596367A7282DB2A14D4321D00.jpg,jpg,330,247
91,마감재파손,2025-07-22,경상남도,김해시,체육관,(취약시설)해동이국민체육센터,경상남도 김해시 삼계로 132 (삼계동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25하-1(조치필요) 2층 헬스장 조적벽체 균열,http://openapi.kspo.or.kr/web/ai/,091_DCD5BACC0448A34B8F79C50A1BEEE7E9.jpg,jpg,330,247
92,마감재파손,2025-08-06,충청남도,청양군,체육관,(취약시설)(취약시설)청양군민체육관,충청남도 청양군 청양읍 충절로 1204,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25상-2(조치필요) 전망탑 4층 천장 텍스 오염 다수 발생,http://openapi.kspo.or.kr/web/ai/,092_57CE2454CDDF93FB1BA1EC0168EF23D4.jpg,jpg,330,248
93,마감재파손,2025-08-04,충청남도,공주시,체육관,백제체육관,충청남도 공주시 고마나루길 51-14(웅진동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",23-4(조치필요) 3층 관람석 천장 마감 누수 흔적,http://openapi.kspo.or.kr/web/ai/,093_E2DB38253956C9F9625AE0A0E5CB4041.jpg,jpg,330,247
94,마감재파손,2025-08-04,충청남도,홍성군,전천후게이트볼장,홍성전천후게이트볼장,충청남도 홍성군 홍성읍 홍덕서로 78,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25하-2(조치필요) 1층 관리실 천장 마감재(텍스) 누수흔적 및 곰팡이,http://openapi.kspo.or.kr/web/ai/,094_D1830CEF188B69553C1D0467198163BC.jpg,jpg,384,288
95,마감재파손,2025-08-04,강원특별자치도,춘천시,하키장,춘천 하키장,삼천동 83-2,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부","25하-1(조치필요) 관람석 바닥 표면파손, 박락, 열화발생",http://openapi.kspo.or.kr/web/ai/,095_42101A120E58D2DBD6332A49A7A5828F.jpg,jpg,355,266
96,마감재파손,2025-08-27,경기도,연천군,육상경기장,연천공설운동장,경기도 연천군 연천읍 문화로 150,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부","25하-3(조치필요) 2층 외부 벽체 도장박락, 열화",http://openapi.kspo.or.kr/web/ai/,096_AEF6DF64A35267F83857B7DE024BBF90.jpg,jpg,345,258
97,마감재파손,2025-07-14,경상북도,상주시,체육관,상주시실내체육관(구관),경상북도 상주시 북상주로 24-7 (계산동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부","25하-3(조치필요)좌,우측면 조적벽체 균열",http://openapi.kspo.or.kr/web/ai/,097_10607D182A44B9BB5D130D7B35F362B0.jpg,jpg,204,272
98,마감재파손,2025-07-16,서울특별시,관악구,체육관,신림체육센터,서울특별시 관악구 난곡로58길 13 (신림동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25하-1(조치필요) 3층 헬스클럽 천장 마감재 들뜸,http://openapi.kspo.or.kr/web/ai/,098_18BFF35238972A05287A463A1C1DA5A9.jpg,jpg,212,283
99,마감재파손,2025-07-21,경기도,남양주시,체육관,호평체육문화센터,경기도 남양주시 늘을2로 67 (호평동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25하-1(조치필요) 지하층 수영장 조적벽체 균열 다수,http://openapi.kspo.or.kr/web/ai/,099_FF2EDC8F3F06DFF0C7F74F840A5A21D7.jpg,jpg,365,274
100,마감재파손,2025-09-02,대구광역시,북구,사격장,대구국제사격장,대구광역시 북구 문주길 170 (금호동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25하-7(조치필요) 실내사격장 지상1층 복도 벽체 이질재접합부이격 다수,http://openapi.kspo.or.kr/web/ai/,100_62201F843F36F9CC808EBCE042C56834.jpg,jpg,360,270
101,마감재파손,2025-07-23,충청북도,제천시,체육관,배드민턴체육관,충청북도 제천시 청전대로 13 (청전동),건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25하-1(조치필요) 외부 지붕 마감재 누수,http://openapi.kspo.or.kr/web/ai/,101_5A7D20885D73D4968DE28FAC1951994E.jpg,jpg,368,276
102,마감재파손,2025-08-07,경상북도,울진군,체육관,울진군민체육관,울진읍 연지리793,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25하-2(조치필요) 우측면 외부 조적벽체 미장 박락,http://openapi.kspo.or.kr/web/ai/,102_1AAB9EC466790E66AF40ACC56F95D68D.jpg,jpg,381,286
103,마감재파손,2025-08-07,충청남도,예산군,전천후게이트볼장,광시게이트볼장,충청남도 예산군 광시면 예당로 189-13,건물 내외부,"바닥 벽(내외부) 천정, 계단(비구조부)","마감재의 파손(균열, 탈락), 오염, 누수 및 누수, 침수 흔적의 발생 여부",25하-2(조치필요) 정면 외벽 판넬 마감재 변형,http://openapi.kspo.or.kr/web/ai/,103_BDE0615233B0F7FB10DBE1C3A00952B7.jpg,jpg,357,267
104,"창호문,방충망",2025-07-29,광주광역시,서구,수영장,광주실내수영장,광주광역시 서구 금화로 278 (풍암동),건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25상-1(조치필요) 1층 수영장 출입문 문틀 부식,http://openapi.kspo.or.kr/web/ai/,104_18C05C6B7039555EA785200F999DB644.jpg,jpg,335,248
105,"창호문,방충망",2025-07-29,광주광역시,서구,체육관,빛고을체육관,광주광역시 서구 금화로 278 (풍암동),건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25하-1(조치필요) 관람석 2층 출입문 손잡이 파손.jpg,http://openapi.kspo.or.kr/web/ai/,105_017A76BC97C7E710CD63369501B0CF52.jpg,jpg,329,254
106,"창호문,방충망",2025-07-30,광주광역시,서구,기타시설,광주 올림픽기념국민생활관,광주광역시 서구 금화로 278(풍암동),건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",(24하-1)(조치필요)외부 좌측면 그릴창 문짝 고정 미흡,http://openapi.kspo.or.kr/web/ai/,106_76E7739D402C00937C94C0BDD0F2B5E9.jpg,jpg,329,247
107,"창호문,방충망",2025-07-14,경기도,하남시,체육관,하남국민체육센터(국민체육센터),경기도 하남시 아리수로 600 (망월동),건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25하-3(조치필요) 지상2층 체육관 창문 방충망 파손,http://openapi.kspo.or.kr/web/ai/,107_21570BB4B9F2AE7D6A20F94AC297747C.jpg,jpg,203,272
108,"창호문,방충망",2025-06-16,충청남도,천안시,축구장,천안축구센터,충청남도 천안시 서북구 축구센터로 150 (성정동),건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25상-7(조치필요) 방충망 파손 본관 지상1층 체력단련장 창문,http://openapi.kspo.or.kr/web/ai/,108_7300BFFB5A12562152E1672906BEAA9B.jpg,jpg,201,268
109,"창호문,방충망",2025-07-28,전라남도,강진군,체육관,(취약시설)강진국민체육센터,전라남도 강진군 군동면 종합운동장길 60,건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25상-7(조치필요) 부속 철물 파손에 의한 창문 탈락 지상3층 관람석,http://openapi.kspo.or.kr/web/ai/,109_767C37F408010FC5101779B5DA720A1F.jpg,jpg,213,284
110,"창호문,방충망",2025-07-21,경기도,남양주시,체육관,호평체육문화센터,경기도 남양주시 늘을2로 67 (호평동),건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25하-3(조치필요) 지상2층 탈의실 옆 체육관 출입문 파손,http://openapi.kspo.or.kr/web/ai/,110_9D91FABDA08569DA55936CA6263C7FA7.jpg,jpg,215,287
111,"창호문,방충망",2025-08-07,충청남도,예산군,전천후게이트볼장,광시게이트볼장,충청남도 예산군 광시면 예당로 189-13,건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25하-3(조치필요) 1층 게이트볼장 창호(문) 변형 및 손잡이 탈락,http://openapi.kspo.or.kr/web/ai/,111_25E21C72CB18E254B637467593C42CFA.jpg,jpg,221,296
112,"창호문,방충망",2025-09-09,전북특별자치도,익산시,전천후게이트볼장,여산실내게이트볼장,전북특별자치도 익산시 여산면 서촌1길 24-7,건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25하-2(조치필요) 1층 게이트볼장 창호 전반적으로 계폐 불량,http://openapi.kspo.or.kr/web/ai/,112_2EE2C1BB4B75C8CF668F48638886D8BA.jpg,jpg,386,290
113,"창호문,방충망",2025-09-16,경기도,파주시,전천후게이트볼장,(취약시설)파주스타디움게이트볼장,경기도 파주시 중앙로 160 (금릉동),건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25하-1 (조치필요) 출입문 문틀 변형 및 작동불량,http://openapi.kspo.or.kr/web/ai/,113_CB12A3FE67E88635FD9C9237715BA12D.jpg,jpg,391,292
114,"창호문,방충망",2025-05-27,경상남도,합천군,체육관,합천군스포츠센터,경상남도 합천군 합천읍 장수로 1-2,건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25상-6(조치필요) 지상2층 탁구장 내부 창문 고정불량,http://openapi.kspo.or.kr/web/ai/,114_05581BF8BE530CB287C205D17138E7F3.jpg,jpg,379,284
115,"창호문,방충망",2025-06-20,충청남도,서천군,체육관,한산모시체육관,충청남도 서천군 한산면 충절로1174번길 22,건물 내외부,창호,"창호(문, 방충망 등)의 안전상태",25상-3(조치필요) 외부 배면 창호 방충망 파손,http://openapi.kspo.or.kr/web/ai/,115_46A2687EE3EF7EAED20D528EBA820B87.jpg,jpg,222,295
116,창호유리,2025-05-28,울산광역시,울주군,전천후게이트볼장,웅촌게이트볼장,울산광역시 울주군 웅촌면 웅촌로 378-1,건물 내외부,창호,창호 유리의 안전상태,25상-6(조치필요) 외부 유리창 파손,http://openapi.kspo.or.kr/web/ai/,116_D7B24D8067469A82527215B5784BE855.jpg,jpg,330,248
117,창호유리,2025-06-12,경기도,안산시,체육관,감골시민홀체육관,사동 1342,건물 내외부,창호,창호 유리의 안전상태,25상-6(조치필요) 1층 계단실 유리창 파손,http://openapi.kspo.or.kr/web/ai/,117_B940A1A8AC3EE4DBF21E483DF3344CCA.jpg,jpg,330,248
118,창호유리,2025-07-28,전라남도,강진군,체육관,(취약시설)강진국민체육센터,전라남도 강진군 군동면 종합운동장길 60,건물 내외부,창호,창호 유리의 안전상태,25하-1(조치필요) 1층 수영장 유리창파손,http://openapi.kspo.or.kr/web/ai/,118_5962848C59FF29F059432742CD369796.jpg,jpg,330,248
119,창호유리,2025-09-08,전북특별자치도,진안군,체육관,진안문예체육회관,전라북도 진안군 진안읍 진무로 1054-38,건물 내외부,창호,창호 유리의 안전상태,25상-11(조치필요) 2층 복도 창문 유리 파손,http://openapi.kspo.or.kr/web/ai/,119_5619A8C333240EC779BBE55CAD11C6AC.jpg,jpg,393,249
120,창호유리,2025-08-07,전북특별자치도,김제시,테니스장,지평선테니스장,전라북도 김제시 도작로 224-107 (검산동),건물 내외부,창호,창호 유리의 안전상태,25상-1 (조치필요) 창호 파손 위험,http://openapi.kspo.or.kr/web/ai/,120_C972A58BDF9D3CECFE6464A626A250EA.jpg,jpg,383,258
121,창호유리,2025-09-19,충청북도,단양군,체육관,단양다목적체육관,충청북도 단양군 단양읍 별곡3로 19,건물 내외부,창호,창호 유리의 안전상태,25상-5(조치필요) 탁구장 통로 계단실 유리 금 발생,http://openapi.kspo.or.kr/web/ai/,121_9DDD9C62C2672C427DFFF990746EA757.png,png,177,284
122,창호유리,2025-05-14,경기도,남양주시,체육관,호평체육문화센터,경기도 남양주시 늘을2로 67 (호평동),건물 내외부,창호,창호 유리의 안전상태,25상-11(조치필요) 창호 유리 파손 지상2층 헬스장 복도,http://openapi.kspo.or.kr/web/ai/,122_7ADD62DDA1E5C6569038A813A7E1C578.jpg,jpg,209,279
123,창호유리,2025-06-19,충청남도,천안시,체육관,천안신방체육관,충청남도 천안시 동남구 천안천변길 195-6 (신방동),건물 내외부,창호,창호 유리의 안전상태,25상-10(조치필요) 유리 블럭 파손 다수 정문 우측 주차장 방향 외부 벽체,http://openapi.kspo.or.kr/web/ai/,123_49688BF9180D5D883AE3E5FAC0CBED91.jpg,jpg,216,288
124,창호유리,2025-07-21,서울특별시,광진구,수영장,중곡문화체육센터수영장,서울특별시 광진구 능동로 433 (중곡동),건물 내외부,창호,창호 유리의 안전상태,25하-1(조치필요) 외부 유리창 유리파손,http://openapi.kspo.or.kr/web/ai/,124_9C985126BDE454985550E288A3B87C2B.jpg,jpg,203,271
125,창호유리,2025-07-28,경상남도,합천군,체육관,청덕체육관,경남 합천군 청덕면 두곡리 368-1,건물 내외부,창호,창호 유리의 안전상태,25상-2(조치필요) 1층 외부 창호 유리 파손,http://openapi.kspo.or.kr/web/ai/,125_DAB57C6840D5A7A54892C55B3A941710.jpg,jpg,375,281
126,창호유리,2025-09-12,서울특별시,서초구,체육관,언남문화체육센터,서울특별시 서초구 동산로13길 35 (양재동),건물 내외부,창호,창호 유리의 안전상태,25하-1(조치필요) 지상4층 골프연습장 테라스 방향 창호 유리 파손,http://openapi.kspo.or.kr/web/ai/,126_EF64945A1C971E73C55C418A426C1C3A.jpg,jpg,218,290
127,창호유리,2025-08-06,경상남도,통영시,수영장,통영국민체육센터수영장,경상남도 통영시 산양읍 산양중앙로 100,건물 내외부,창호,창호 유리의 안전상태,25하-2(조치필요) 지상 1층 외부 배면 유리창 파손,http://openapi.kspo.or.kr/web/ai/,127_F0B73EABA65043EB3E884FA373258AE6.png,png,443,269
128,창호유리,2025-09-18,대전광역시,서구,빙상장,남선공원 빙상장,대전광역시 서구 남선로 66 (탄방동),건물 내외부,창호,창호 유리의 안전상태,25하-5(조치필요) 지상2층 빙상장 관람석 골프연습장 방향 창호 파손,http://openapi.kspo.or.kr/web/ai/,128_83CE7B19FA2579FB3AF87F752240A03B.png,png,439,268
129,미끄럼방지,2025-08-05,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25상-9(조치필요) 외부 계단 논슬립 미설치,http://openapi.kspo.or.kr/web/ai/,129_EF0A742A41D4B2EB43F6C2F4078FAE9E.jpg,jpg,331,248
130,미끄럼방지,2025-08-06,충청남도,청양군,체육관,(취약시설)(취약시설)청양군민체육관,충청남도 청양군 청양읍 충절로 1204,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25상-10(조치필요) 지상 3층 관람석 계단 논슬립 탈락,http://openapi.kspo.or.kr/web/ai/,130_FF17FB5CE89860F971C797A243CCBE17.jpg,jpg,331,247
131,미끄럼방지,2025-09-08,전북특별자치도,진안군,체육관,진안문예체육회관,전라북도 진안군 진안읍 진무로 1054-38,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25상-12(조치필요) 체육관 관람석 및 공용부 계단 논슬립 전체적으로 미부착,http://openapi.kspo.or.kr/web/ai/,131_174000EC6B927C3AD6AFD0ECC3B59D4F.jpg,jpg,341,279
132,미끄럼방지,2025-08-04,충청남도,공주시,체육관,백제체육관,충청남도 공주시 고마나루길 51-14(웅진동),건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",23-7(조치필요) 관람석 전체 계단 미끄럼방지 미설치,http://openapi.kspo.or.kr/web/ai/,132_EE37FDE0736634812BFAFDE5745CDB86.jpg,jpg,331,247
133,미끄럼방지,2025-09-03,대구광역시,수성구,축구장,(취약시설)수성구민운동장,수성구 범어동 356,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25상-3(조치필요) 2층 관람석 논슬립 미설치,http://openapi.kspo.or.kr/web/ai/,133_67746614419A18B69F33B28038FAF9E4.jpg,jpg,337,270
134,미끄럼방지,2025-09-11,전북특별자치도,무주군,축구장,면생활체육공원(안성축구장),전라북도 무주군 안성면 구량천로 82,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등","25상-4(조치필요) 외부 계단, 관람석 계단 미끄럼방지 미설치",http://openapi.kspo.or.kr/web/ai/,134_F1B9487227C580E5BCA07614CC187645.jpg,jpg,338,272
135,미끄럼방지,2025-09-10,전북특별자치도,무주군,테니스장,반딧불체육관테니스장,전라북도 무주군 무주읍 한풍루로 326-14,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-1(조치필요)2층 관람석 계단 미끄럼 방지시설 미부착,http://openapi.kspo.or.kr/web/ai/,135_D1E253805696364722A54CBCD7988E2F.jpg,jpg,343,240
136,미끄럼방지,2025-07-30,전라남도,장흥군,체육관,장흥실내체육관,전라남도 장흥군 장흥읍 읍성로 5-28,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등","25상-4(조치필요) 미끄럼 방지 미설치 지상1층 계단 다수, 지상2층 관람석 철제 계단 다수",http://openapi.kspo.or.kr/web/ai/,136_DB5C999928F476775044FE2D1E0B3C9E.jpg,jpg,331,248
